Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Piotex,544178,,Textiles - Cotton/Blended,39.00,6.61,19.90,38.89,8.45,43.69,49.95,0.78,97.42,7.64,1.98,,0.09,4.71,3.00,2.54,29.62,8.45,23.61,1.91,98.85,0.51,363.75,21.78,0.00,65.95,19.61,0.34,5.00,11.21
Pix Transmission,500333,PIXTRANS,Miscellaneous,1707.10,20.29,2326.78,22.64,60.91,18.23,404.96,4.22,875.65,14.89,4.98,0.86,0.07,8.45,9.00,16.83,9.04,84.15,34.88,3.66,81.46,1.36,1070.12,2296.73,0.00,61.82,6.81,184.48,3.00,13.66
PNGS Gargi FJ,543709,,Diamond Cutting / Jewellery,907.45,32.62,939.92,57.93,27.81,44.76,96.25,9.43,245.43,47.28,10.00,,0.04,17.20,6.00,22.80,177.07,27.81,33.21,7.06,40.01,1.04,1272.51,889.44,0.00,70.23,4.38,5.19,6.00,36.97
Pokarna,532486,POKARNA,Miscellaneous,1050.25,22.48,3256.20,18.27,28.18,15.82,215.76,4.87,475.10,17.22,1.82,14.79,0.56,6.28,8.00,12.66,32.64,46.50,30.81,1.23,63.55,3.10,403.39,3569.95,0.00,56.66,6.79,96.17,5.00,7.50
Poly Medicure,531768,POLYMED,Healthcare,2419.20,72.40,24512.72,20.24,33.41,15.99,272.95,8.86,452.99,56.23,5.18,2.52,0.07,15.15,5.00,20.28,21.87,33.41,48.04,4.41,76.45,10.13,847.18,24541.62,0.00,62.44,1.89,-146.32,5.00,13.41
Polycab India,542652,POLYCAB,Cables - Power,6094.50,45.39,91677.98,31.00,134.28,22.43,653.15,9.33,1404.79,38.73,2.65,2.06,0.02,14.48,4.00,9.13,22.45,134.28,31.11,1.61,42.29,15.04,3272.06,91109.77,0.00,63.05,3.15,2260.29,6.00,15.83
Positron Energy,,POSITRON,Miscellaneous,363.10,15.52,275.97,41.81,23.39,38.02,103.46,3.51,233.35,16.86,3.06,,0.09,9.21,5.00,5.28,238.42,23.39,15.52,2.91,34.76,0.76,1175.94,217.60,0.00,72.04,10.68,18.21,6.00,22.79
Power Mech Proj.,539302,POWERMECH,Engineering - Turnkey Services,2963.30,31.94,9368.86,23.79,78.50,15.87,619.36,4.78,1137.64,16.34,2.07,2.07,0.34,6.87,6.00,5.88,30.70,92.87,33.15,1.97,90.21,3.16,1735.34,9541.49,0.00,58.28,5.49,382.14,5.00,7.47
Prabhhans Inds,530361,,Trading,90.55,26.44,56.58,24.25,2.18,20.24,13.70,6.61,32.49,31.04,1.51,0.29,0.64,5.99,4.00,2.59,,3.42,28.96,1.01,85.93,0.62,28.37,61.49,0.00,72.89,5.89,-5.12,6.00,5.44
Prakash Pipes,542684,PPL,Plastics Products,429.15,10.46,1026.46,32.72,37.48,27.84,171.60,2.50,398.09,8.40,2.97,0.41,0.14,6.56,6.00,13.39,12.02,41.04,26.80,2.58,40.93,2.39,782.24,837.93,0.00,44.41,16.18,167.83,6.00,21.39
