Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Gillette India,507815,GILLETTE,Personal Care - Multinational,8610.00,59.19,28059.99,58.91,126.35,42.49,332.84,25.87,1043.77,65.13,1.72,5.73,0.00,26.41,9.00,15.82,9.93,145.48,56.44,1.16,38.03,3.26,2112.52,27500.24,0.00,75.00,2.38,1171.25,4.00,22.23
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,2828.60,51.85,47918.19,66.88,54.75,49.57,115.19,24.56,376.70,57.12,1.79,1.43,0.01,21.69,9.00,24.65,4.58,54.75,45.91,1.54,28.48,16.94,580.01,46524.62,0.00,75.00,2.70,2292.60,4.00,24.11
GMM Pfaudler,505255,GMMPFAUDLR,Engineering,1107.50,46.17,4979.01,19.08,39.80,19.65,229.23,4.83,360.10,46.32,1.59,1.59,0.91,4.53,8.00,5.04,51.00,25.14,35.65,1.05,45.84,4.50,732.39,5513.67,0.00,25.18,4.99,490.21,4.00,5.35
Godawari Power,532734,GPIL,Steel - Large,201.71,16.70,13499.62,29.19,13.76,21.89,67.67,2.98,135.00,5.39,3.76,0.57,0.01,7.25,8.00,16.89,11.30,11.97,21.81,2.30,14.21,66.93,177.16,12761.28,0.00,63.51,9.17,1863.20,4.00,17.18
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes,8718.50,39.33,45330.90,29.62,206.18,24.32,1008.93,8.64,2163.46,15.80,2.10,1.36,0.03,13.25,8.00,20.55,27.81,206.18,32.45,0.70,33.59,5.20,4445.65,45479.56,0.00,72.58,3.26,875.32,6.00,18.00
GPT Healthcare,544131,GPTHEALTH,Healthcare,160.24,26.38,1314.85,30.31,5.82,24.92,28.15,5.69,62.03,29.49,1.10,,0.12,8.94,8.00,11.95,18.13,6.08,48.04,0.95,22.14,8.21,90.11,1338.21,0.00,65.57,5.64,166.32,6.00,14.23
Grauer & Weil,505710,GRAUWEIL,Chemicals,85.48,24.13,3875.76,26.06,3.23,19.62,19.18,4.46,39.10,18.82,3.13,1.47,0.01,8.32,9.00,13.63,20.84,3.54,29.91,2.60,63.47,45.34,49.31,3429.81,0.00,69.04,6.38,245.61,4.00,14.01
Guj Pipavav Port,533248,GPPL,Miscellaneous,144.96,17.94,7007.94,24.80,7.32,18.81,43.63,3.32,85.51,19.77,2.80,1.30,0.03,6.51,8.00,39.70,10.46,7.45,23.52,2.77,21.30,48.34,78.08,5962.51,0.00,44.01,9.08,1054.55,6.00,14.71
Hawkins Cookers,508486,,Domestic Appliances,7905.90,36.55,4182.22,44.52,207.72,36.04,622.38,12.70,1740.88,34.74,2.43,2.41,0.08,17.23,8.00,10.72,10.05,216.42,49.81,1.57,17.00,0.53,2647.82,4046.14,0.00,56.03,3.88,148.83,4.00,22.27
Heritage Foods,519552,HERITGFOOD,Food - Processing - Indian,430.45,20.52,3994.40,27.06,20.29,21.87,104.74,4.11,218.67,26.39,1.82,0.78,0.18,8.49,8.00,4.71,15.53,20.29,31.16,0.88,3.36,9.28,274.97,4099.21,0.00,41.30,6.89,169.22,4.00,13.71
